Regen_Plot,Owner,InNotesTrt,Why deleted,Other?,FACTS,Revisit_Delete1st
ANT1201791,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201793,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201796,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201799,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201830,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201832,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201838,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201840,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201842,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201844,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201846,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201848,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201850,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201852,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201854,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201856,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1201860,USFS, , ,,Salvaged or planted between fire year and measure*,
ANT1202013,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
ANT1202033,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
ANT1202039,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
ANT1202084,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
ANT1202139,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
BAR1111418,USFS, , ,,Salvaged or planted between fire year and measure*,
BAR1111900,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
BAR1111901,USFS, , ,,Salvaged or planted between fire year and measure*,
BAR1111943,USFS, , ,,Salvaged or planted between fire year and measure*,
BAR1112169,USFS, , ,,Salvaged or planted between fire year and measure*,
BAR1112192,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100005,Private,Yes,Private,,Private,
BST1100024,Private,Yes,Private,,Private,
BST1100052,Private,Yes,Private,,Private,
BST1100066,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100071,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100072,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100090,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100110,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100111,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100113,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100114,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100117,Private, , ,,Salvaged or planted between fire year and measure*,
BST1100136,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100137,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100161,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100162,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100163,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100172,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100194,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100195,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100197,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100198,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100255,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100265,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100267,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100269,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100270,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100276,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100287,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100288,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100289,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100290,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100291,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100297,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
BST1100308,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
BST1100310,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100326,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100327,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100328,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100329,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
BST1100347,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100351,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100361,USFS, , ,,Salvaged or planted between fire year and measure*,
BST1100366,USFS, , ,,Salvaged or planted between fire year and measure*,
BTU1300020,USFS, , ,,Salvaged or planted between fire year and measure*,
BUT1200091,USFS, , ,,Salvaged or planted between fire year and measure*,
CHB2012043,USFS, , ,,Salvaged or planted between fire year and measure*,
CHB2012044,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
CHB2012078,USFS, , ,,Salvaged or planted between fire year and measure*,
CHB2012148,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
CHB2012183,USFS, , ,,Salvaged or planted between fire year and measure*,
CHB2012185,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
CHB2012208,USFS, , ,,Salvaged or planted between fire year and measure*,
CHB2012210,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
CUB1300125,USFS, , ,,Salvaged or planted between fire year and measure*,
CUB1300300,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
ELK2012001,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012119,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012402,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012440,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012511,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
ELK2012512,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012564,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012565,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012587,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012591,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012592,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012593,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012594,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012595,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012615,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012617,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012620,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012621,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012623,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012624,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012653,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012717,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012745,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012771,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012772,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012801,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012829,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012856,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012857,USFS, , ,,Salvaged or planted between fire year and measure*,
ELK2012864,USFS,Yes,Field notes state treatments,,"Not in FACTS polygon, but adjacent to treatments",
FRD0900007,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900008,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900009,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900010,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900011,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900012,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900013,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900014,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900015,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900016,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900017,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900022,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900023,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD0900024,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900025,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900026,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900029,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900030,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900031,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900032,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900033,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900034,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900035,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900038,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900039,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900040,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900041,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900043,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900044,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900045,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900046,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900047,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900048,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900049,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900050,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900051,Private,Yes,Private,,Private,"Initial visit, 2012 re-visit retained in analysis"
FRD0900053,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900054,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900055,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900056,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900057,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD0900058,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900059,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900060,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900061,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900062,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900063,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900064,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900065,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900066,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900069,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900070,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900071,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD0900075,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900076,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900077,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900078,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900079,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900080,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900081,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900082,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900083,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900084,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900085,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900086,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900087,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD0900088,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD0900091,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900092,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900093,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900094,Private,Yes,Private,,Private,
FRD0900097,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900098,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900099,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900100,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD0900101,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900102,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900103,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900104,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900105,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900106,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900107,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900108,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900109,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900110,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900111,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900115,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900117,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900118,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900119,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900120,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900121,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900122,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900123,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900124,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900125,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900126,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900129,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD0900130,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD0900131,USFS, , ,,Salvaged or planted between fire year and measure*,"Initial visit, 2012 re-visit retained in analysis"
FRD1100024,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1100025,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1100213,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD1200022,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD1200031,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200032,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200033,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRD1200034,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200035,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200047,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200048,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200049,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200050,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200056,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200058,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200060,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200061,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200062,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200063,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200064,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200065,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200066,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200069,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200070,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200071,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200079,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200080,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200082,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200083,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200084,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200085,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200090,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200092,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200093,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200099,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200103,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200104,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200105,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200106,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200107,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200123,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200124,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200125,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200140,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200183,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200229,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200268,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200269,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200270,USFS, , ,,Salvaged or planted between fire year and measure*,
FRD1200302,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200034,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200043,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200063,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRN1200131,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200132,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200172,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200180,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200184,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200221,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200225,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200226,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200230,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200231,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200305,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200306,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200307,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200322,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200323,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200324,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200325,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200329,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200358,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200360,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200376,USFS,Yes,Field notes state treatments,,Salvaged or planted between fire year and measure*,
FRN1200377,Private,Yes,Private,,Private,
FRN1200378,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200382,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200394,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200395,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200397,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200398,USFS, , ,,Salvaged or planted between fire year and measure*,
FRN1200399,USFS, , ,,Salvaged or planted between fire year and measure*,
HAR1000040,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1200113,USFS,,Regen data not by age,Regen data not by age,Not in FACTS,
MOO1200396,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1200397,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1200437,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1200438,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1200905,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1200976,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1200978,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1200999,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201001,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201556,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201565,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201566,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201569,Private,Yes,Private,,Private,
MOO1201570,Private,Yes,Private,,Private,
MOO1201578,Private,Yes,Private,,Private,
MOO1201592,Private,Yes,Private,,Private,
MOO1201593,Private,Yes,Private,,Private,
MOO1201608,Private,Yes,Private,,Private,
MOO1201609,Private,Yes,Private,,Private,
MOO1201627,Private,Yes,Private,,Private,
MOO1201645,Private,Yes,Private,,Private,
MOO1201646,Private,Yes,Private,,Private,
MOO1201655,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201656,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201671,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201672,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201673,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201683,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201684,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201697,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201699,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201700,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201711,USFS, , ,,Salvaged or planted between fire year and measure*,
MOO1201726,USFS, , ,,Salvaged or planted between fire year and measure*,
